group_topic,final_location,tweet_count,account_count,temp_counts,temp_percentages
"polarvortex, ssw",Unknown,48,4,"{'cold': 25, 'very cold': 13, 'mild/not relevant': 10}","{'cold': '25 (52.1%)', 'very cold': '13 (27.1%)', 'mild/not relevant': '10 (20.8%)'}"
"winter, cold, weather",france,47,9,"{'mild/not relevant': 26, 'cold': 19, 'very cold': 2}","{'mild/not relevant': '26 (55.3%)', 'cold': '19 (40.4%)', 'very cold': '2 (4.3%)'}"
storm,sweden,47,7,"{'cold': 35, 'mild/not relevant': 11, 'very cold': 1}","{'cold': '35 (74.5%)', 'mild/not relevant': '11 (23.4%)', 'very cold': '1 (2.1%)'}"
"snow, cold, uksnow",france,47,8,"{'mild/not relevant': 34, 'cold': 12, 'very cold': 1}","{'mild/not relevant': '34 (72.3%)', 'cold': '12 (25.5%)', 'very cold': '1 (2.1%)'}"
"cold, snow, z",turkey,47,7,"{'cold': 23, 'mild/not relevant': 23, 'very cold': 1}","{'cold': '23 (48.9%)', 'mild/not relevant': '23 (48.9%)', 'very cold': '1 (2.1%)'}"
"pv, ssw",Unknown,45,6,"{'mild/not relevant': 30, 'cold': 15}","{'mild/not relevant': '30 (66.7%)', 'cold': '15 (33.3%)'}"
blocking,germany,43,10,"{'cold': 30, 'mild/not relevant': 13}","{'cold': '30 (69.8%)', 'mild/not relevant': '13 (30.2%)'}"
"snow, cold, uksnow",netherlands,42,10,"{'mild/not relevant': 24, 'cold': 14, 'very cold': 3, 'very hot': 1}","{'mild/not relevant': '24 (57.1%)', 'cold': '14 (33.3%)', 'very cold': '3 (7.1%)', 'very hot': '1 (2.4%)'}"
"pv, polarvortex",Unknown,42,2,"{'mild/not relevant': 29, 'cold': 12, 'hot': 1}","{'mild/not relevant': '29 (69.0%)', 'cold': '12 (28.6%)', 'hot': '1 (2.4%)'}"
"winter, cold, weather",netherlands,41,9,"{'mild/not relevant': 25, 'cold': 14, 'very cold': 2}","{'mild/not relevant': '25 (61.0%)', 'cold': '14 (34.1%)', 'very cold': '2 (4.9%)'}"
ssw,united states,41,8,"{'cold': 20, 'mild/not relevant': 18, 'hot': 2, 'very cold': 1}","{'cold': '20 (48.8%)', 'mild/not relevant': '18 (43.9%)', 'hot': '2 (4.9%)', 'very cold': '1 (2.4%)'}"
storm,ireland,41,9,"{'cold': 23, 'mild/not relevant': 18}","{'cold': '23 (56.1%)', 'mild/not relevant': '18 (43.9%)'}"
northerly,united states,40,10,"{'cold': 29, 'mild/not relevant': 9, 'hot': 2}","{'cold': '29 (72.5%)', 'mild/not relevant': '9 (22.5%)', 'hot': '2 (5.0%)'}"
storm,france,40,11,"{'cold': 26, 'mild/not relevant': 12, 'very cold': 2}","{'cold': '26 (65.0%)', 'mild/not relevant': '12 (30.0%)', 'very cold': '2 (5.0%)'}"
"winter, cold, weather",turkey,40,9,"{'mild/not relevant': 20, 'cold': 16, 'very cold': 4}","{'mild/not relevant': '20 (50.0%)', 'cold': '16 (40.0%)', 'very cold': '4 (10.0%)'}"
"cold, snow, z",netherlands,40,9,"{'mild/not relevant': 23, 'cold': 16, 'very cold': 1}","{'mild/not relevant': '23 (57.5%)', 'cold': '16 (40.0%)', 'very cold': '1 (2.5%)'}"
storm,netherlands,39,12,"{'cold': 23, 'mild/not relevant': 13, 'very cold': 3}","{'cold': '23 (59.0%)', 'mild/not relevant': '13 (33.3%)', 'very cold': '3 (7.7%)'}"
"cold, snow, air",france,37,12,"{'cold': 18, 'mild/not relevant': 17, 'very cold': 2}","{'cold': '18 (48.6%)', 'mild/not relevant': '17 (45.9%)', 'very cold': '2 (5.4%)'}"
pv,croatia,30,8,"{'mild/not relevant': 25, 'very cold': 2, 'cold': 2, 'hot': 1}","{'mild/not relevant': '25 (83.3%)', 'very cold': '2 (6.7%)', 'cold': '2 (6.7%)', 'hot': '1 (3.3%)'}"
nao,united states,28,8,"{'mild/not relevant': 22, 'cold': 5, 'hot': 1}","{'mild/not relevant': '22 (78.6%)', 'cold': '5 (17.9%)', 'hot': '1 (3.6%)'}"
storm,florida,28,6,"{'cold': 16, 'mild/not relevant': 12}","{'cold': '16 (57.1%)', 'mild/not relevant': '12 (42.9%)'}"
"cold, snow, air",netherlands,27,7,"{'mild/not relevant': 14, 'cold': 13}","{'mild/not relevant': '14 (51.9%)', 'cold': '13 (48.1%)'}"
pv,united states,27,7,"{'mild/not relevant': 18, 'cold': 9}","{'mild/not relevant': '18 (66.7%)', 'cold': '9 (33.3%)'}"
storm,turkey,26,7,"{'cold': 15, 'mild/not relevant': 10, 'very cold': 1}","{'cold': '15 (57.7%)', 'mild/not relevant': '10 (38.5%)', 'very cold': '1 (3.8%)'}"
"winter, cold, weather",sweden,26,6,"{'mild/not relevant': 15, 'cold': 9, 'very cold': 1, 'hot': 1}","{'mild/not relevant': '15 (57.7%)', 'cold': '9 (34.6%)', 'very cold': '1 (3.8%)', 'hot': '1 (3.8%)'}"
"blocking, nao",Unknown,25,6,"{'mild/not relevant': 20, 'cold': 4, 'very cold': 1}","{'mild/not relevant': '20 (80.0%)', 'cold': '4 (16.0%)', 'very cold': '1 (4.0%)'}"
blocking,norway,25,9,"{'cold': 16, 'mild/not relevant': 9}","{'cold': '16 (64.0%)', 'mild/not relevant': '9 (36.0%)'}"
"cold, snow, air",ireland,25,10,"{'cold': 17, 'mild/not relevant': 7, 'very cold': 1}","{'cold': '17 (68.0%)', 'mild/not relevant': '7 (28.0%)', 'very cold': '1 (4.0%)'}"
ssw,croatia,23,6,"{'cold': 12, 'mild/not relevant': 11}","{'cold': '12 (52.2%)', 'mild/not relevant': '11 (47.8%)'}"
"winter, cold, weather",russia,23,8,"{'mild/not relevant': 13, 'cold': 7, 'very cold': 3}","{'mild/not relevant': '13 (56.5%)', 'cold': '7 (30.4%)', 'very cold': '3 (13.0%)'}"
"winter, cold, weather",croatia,23,5,"{'mild/not relevant': 12, 'cold': 11}","{'mild/not relevant': '12 (52.2%)', 'cold': '11 (47.8%)'}"
polarvortex,united states,21,4,"{'mild/not relevant': 11, 'cold': 9, 'hot': 1}","{'mild/not relevant': '11 (52.4%)', 'cold': '9 (42.9%)', 'hot': '1 (4.8%)'}"
ssw,norway,21,9,"{'mild/not relevant': 13, 'cold': 7, 'very cold': 1}","{'mild/not relevant': '13 (61.9%)', 'cold': '7 (33.3%)', 'very cold': '1 (4.8%)'}"
northerly,norway,21,10,"{'cold': 20, 'mild/not relevant': 1}","{'cold': '20 (95.2%)', 'mild/not relevant': '1 (4.8%)'}"
northerly,germany,21,4,"{'cold': 18, 'mild/not relevant': 3}","{'cold': '18 (85.7%)', 'mild/not relevant': '3 (14.3%)'}"
"blocking, polarvortex",Unknown,21,2,"{'cold': 13, 'mild/not relevant': 7, 'very cold': 1}","{'cold': '13 (61.9%)', 'mild/not relevant': '7 (33.3%)', 'very cold': '1 (4.8%)'}"
ssw,germany,20,6,"{'cold': 10, 'mild/not relevant': 9, 'very cold': 1}","{'cold': '10 (50.0%)', 'mild/not relevant': '9 (45.0%)', 'very cold': '1 (5.0%)'}"
nao,norway,19,7,"{'mild/not relevant': 12, 'cold': 4, 'hot': 2, 'very cold': 1}","{'mild/not relevant': '12 (63.2%)', 'cold': '4 (21.1%)', 'hot': '2 (10.5%)', 'very cold': '1 (5.3%)'}"
"pv, polarvortex",croatia,19,1,"{'mild/not relevant': 15, 'cold': 3, 'hot': 1}","{'mild/not relevant': '15 (78.9%)', 'cold': '3 (15.8%)', 'hot': '1 (5.3%)'}"
"cold, snow, z",uk,19,5,"{'cold': 12, 'mild/not relevant': 7}","{'cold': '12 (63.2%)', 'mild/not relevant': '7 (36.8%)'}"
"pv, blocking",Unknown,18,6,"{'mild/not relevant': 11, 'cold': 7}","{'mild/not relevant': '11 (61.1%)', 'cold': '7 (38.9%)'}"
"cold, snow, z",france,18,8,"{'cold': 12, 'mild/not relevant': 6}","{'cold': '12 (66.7%)', 'mild/not relevant': '6 (33.3%)'}"
polarvortex,croatia,18,3,"{'cold': 9, 'mild/not relevant': 8, 'very cold': 1}","{'cold': '9 (50.0%)', 'mild/not relevant': '8 (44.4%)', 'very cold': '1 (5.6%)'}"
pv,norway,17,4,"{'mild/not relevant': 11, 'cold': 4, 'hot': 2}","{'mild/not relevant': '11 (64.7%)', 'cold': '4 (23.5%)', 'hot': '2 (11.8%)'}"
storm,croatia,17,6,"{'cold': 12, 'mild/not relevant': 5}","{'cold': '12 (70.6%)', 'mild/not relevant': '5 (29.4%)'}"
ssw,united kingdom,17,6,"{'mild/not relevant': 8, 'cold': 7, 'hot': 1, 'very cold': 1}","{'mild/not relevant': '8 (47.1%)', 'cold': '7 (41.2%)', 'hot': '1 (5.9%)', 'very cold': '1 (5.9%)'}"
storm,scotland,16,7,"{'cold': 13, 'mild/not relevant': 2, 'hot': 1}","{'cold': '13 (81.2%)', 'mild/not relevant': '2 (12.5%)', 'hot': '1 (6.2%)'}"
"cold, snow, z",croatia,15,4,"{'cold': 10, 'mild/not relevant': 5}","{'cold': '10 (66.7%)', 'mild/not relevant': '5 (33.3%)'}"
ssts,Unknown,15,7,"{'hot': 7, 'mild/not relevant': 5, 'cold': 3}","{'hot': '7 (46.7%)', 'mild/not relevant': '5 (33.3%)', 'cold': '3 (20.0%)'}"
"snow, cold, uksnow",turkey,15,7,"{'cold': 9, 'mild/not relevant': 5, 'very cold': 1}","{'cold': '9 (60.0%)', 'mild/not relevant': '5 (33.3%)', 'very cold': '1 (6.7%)'}"
"snow, cold, uksnow",spain,15,7,"{'mild/not relevant': 9, 'cold': 6}","{'mild/not relevant': '9 (60.0%)', 'cold': '6 (40.0%)'}"
"snow, cold, uksnow",croatia,14,5,"{'cold': 10, 'mild/not relevant': 4}","{'cold': '10 (71.4%)', 'mild/not relevant': '4 (28.6%)'}"
"polarvortex, ssw",croatia,14,3,"{'mild/not relevant': 7, 'cold': 6, 'very cold': 1}","{'mild/not relevant': '7 (50.0%)', 'cold': '6 (42.9%)', 'very cold': '1 (7.1%)'}"
"snow, cold, uksnow",uk,14,7,"{'cold': 12, 'mild/not relevant': 2}","{'cold': '12 (85.7%)', 'mild/not relevant': '2 (14.3%)'}"
"snow, cold, uksnow",austria,14,6,"{'mild/not relevant': 8, 'cold': 5, 'very cold': 1}","{'mild/not relevant': '8 (57.1%)', 'cold': '5 (35.7%)', 'very cold': '1 (7.1%)'}"
"cold, snow, z",sweden,13,6,"{'cold': 7, 'mild/not relevant': 6}","{'cold': '7 (53.8%)', 'mild/not relevant': '6 (46.2%)'}"
"cold, snow, air",iceland,13,8,"{'cold': 10, 'mild/not relevant': 2, 'very cold': 1}","{'cold': '10 (76.9%)', 'mild/not relevant': '2 (15.4%)', 'very cold': '1 (7.7%)'}"
polarvortex,norway,13,3,"{'mild/not relevant': 7, 'cold': 4, 'very cold': 2}","{'mild/not relevant': '7 (53.8%)', 'cold': '4 (30.8%)', 'very cold': '2 (15.4%)'}"
"snow, cold, uksnow",england,12,7,"{'cold': 6, 'mild/not relevant': 5, 'very cold': 1}","{'cold': '6 (50.0%)', 'mild/not relevant': '5 (41.7%)', 'very cold': '1 (8.3%)'}"
"cold, snow, z",britain,12,4,"{'cold': 7, 'mild/not relevant': 5}","{'cold': '7 (58.3%)', 'mild/not relevant': '5 (41.7%)'}"
"cold, snow, air",spain,12,9,"{'cold': 9, 'mild/not relevant': 3}","{'cold': '9 (75.0%)', 'mild/not relevant': '3 (25.0%)'}"
"winter, cold, weather",austria,12,7,"{'cold': 8, 'mild/not relevant': 3, 'very cold': 1}","{'cold': '8 (66.7%)', 'mild/not relevant': '3 (25.0%)', 'very cold': '1 (8.3%)'}"
"cold, snow, air",turkey,12,4,"{'cold': 7, 'mild/not relevant': 5}","{'cold': '7 (58.3%)', 'mild/not relevant': '5 (41.7%)'}"
blocking,united kingdom,12,6,"{'cold': 9, 'mild/not relevant': 3}","{'cold': '9 (75.0%)', 'mild/not relevant': '3 (25.0%)'}"
"blocking, ssw",Unknown,12,7,"{'cold': 8, 'mild/not relevant': 4}","{'cold': '8 (66.7%)', 'mild/not relevant': '4 (33.3%)'}"
"winter, cold, weather",eurasia,12,2,"{'cold': 9, 'mild/not relevant': 2, 'hot': 1}","{'cold': '9 (75.0%)', 'mild/not relevant': '2 (16.7%)', 'hot': '1 (8.3%)'}"
"cold, snow, air",uk,12,6,"{'cold': 8, 'mild/not relevant': 4}","{'cold': '8 (66.7%)', 'mild/not relevant': '4 (33.3%)'}"
beastfromtheeast,united states,11,5,"{'cold': 8, 'mild/not relevant': 2, 'very cold': 1}","{'cold': '8 (72.7%)', 'mild/not relevant': '2 (18.2%)', 'very cold': '1 (9.1%)'}"
storm,iceland,11,5,"{'cold': 6, 'mild/not relevant': 5}","{'cold': '6 (54.5%)', 'mild/not relevant': '5 (45.5%)'}"
"cold, snow, air",croatia,11,4,"{'cold': 8, 'mild/not relevant': 3}","{'cold': '8 (72.7%)', 'mild/not relevant': '3 (27.3%)'}"
pv,germany,11,6,"{'mild/not relevant': 9, 'cold': 2}","{'mild/not relevant': '9 (81.8%)', 'cold': '2 (18.2%)'}"
"cold, snow, air",scotland,11,7,"{'cold': 7, 'mild/not relevant': 4}","{'cold': '7 (63.6%)', 'mild/not relevant': '4 (36.4%)'}"
blocking,croatia,11,5,"{'cold': 7, 'mild/not relevant': 4}","{'cold': '7 (63.6%)', 'mild/not relevant': '4 (36.4%)'}"
"snow, cold, uksnow",russia,11,4,"{'mild/not relevant': 6, 'cold': 5}","{'mild/not relevant': '6 (54.5%)', 'cold': '5 (45.5%)'}"
"pv, ssw",croatia,10,3,"{'mild/not relevant': 6, 'cold': 4}","{'mild/not relevant': '6 (60.0%)', 'cold': '4 (40.0%)'}"
nao,germany,10,4,"{'mild/not relevant': 8, 'cold': 2}","{'mild/not relevant': '8 (80.0%)', 'cold': '2 (20.0%)'}"
"pv, polarvortex",germany,10,1,"{'mild/not relevant': 9, 'cold': 1}","{'mild/not relevant': '9 (90.0%)', 'cold': '1 (10.0%)'}"
polarvortex,germany,10,2,"{'mild/not relevant': 4, 'cold': 3, 'hot': 2, 'very cold': 1}","{'mild/not relevant': '4 (40.0%)', 'cold': '3 (30.0%)', 'hot': '2 (20.0%)', 'very cold': '1 (10.0%)'}"
storm,uk,10,7,"{'cold': 7, 'mild/not relevant': 3}","{'cold': '7 (70.0%)', 'mild/not relevant': '3 (30.0%)'}"
blocking,turkey,10,6,"{'cold': 6, 'mild/not relevant': 4}","{'cold': '6 (60.0%)', 'mild/not relevant': '4 (40.0%)'}"
"cold, snow, air",russia,9,4,"{'cold': 6, 'mild/not relevant': 2, 'very cold': 1}","{'cold': '6 (66.7%)', 'mild/not relevant': '2 (22.2%)', 'very cold': '1 (11.1%)'}"
"pv, blocking",united states,9,6,"{'mild/not relevant': 6, 'cold': 3}","{'mild/not relevant': '6 (66.7%)', 'cold': '3 (33.3%)'}"
"cold, snow, air",florida,9,1,"{'cold': 7, 'mild/not relevant': 2}","{'cold': '7 (77.8%)', 'mild/not relevant': '2 (22.2%)'}"
"blocking, nao",united states,9,5,"{'mild/not relevant': 8, 'cold': 1}","{'mild/not relevant': '8 (88.9%)', 'cold': '1 (11.1%)'}"
blocking,iceland,9,4,"{'cold': 7, 'mild/not relevant': 2}","{'cold': '7 (77.8%)', 'mild/not relevant': '2 (22.2%)'}"
"pv, polarvortex",united states,9,2,"{'cold': 5, 'mild/not relevant': 3, 'hot': 1}","{'cold': '5 (55.6%)', 'mild/not relevant': '3 (33.3%)', 'hot': '1 (11.1%)'}"
northerly,united kingdom,9,5,{'cold': 9},{'cold': '9 (100.0%)'}
blocking,sweden,8,3,"{'cold': 5, 'mild/not relevant': 2, 'hot': 1}","{'cold': '5 (62.5%)', 'mild/not relevant': '2 (25.0%)', 'hot': '1 (12.5%)'}"
"winter, cold, weather",uk,8,5,"{'cold': 4, 'mild/not relevant': 4}","{'cold': '4 (50.0%)', 'mild/not relevant': '4 (50.0%)'}"
beastfromtheeast,germany,8,4,"{'cold': 5, 'very cold': 3}","{'cold': '5 (62.5%)', 'very cold': '3 (37.5%)'}"
blocking,netherlands,8,4,"{'cold': 6, 'mild/not relevant': 2}","{'cold': '6 (75.0%)', 'mild/not relevant': '2 (25.0%)'}"
storm,liechtenstein,7,3,"{'cold': 4, 'mild/not relevant': 3}","{'cold': '4 (57.1%)', 'mild/not relevant': '3 (42.9%)'}"
pv,united kingdom,7,3,"{'mild/not relevant': 4, 'cold': 2, 'hot': 1}","{'mild/not relevant': '4 (57.1%)', 'cold': '2 (28.6%)', 'hot': '1 (14.3%)'}"
"winter, cold, weather",greece,7,3,"{'cold': 4, 'mild/not relevant': 3}","{'cold': '4 (57.1%)', 'mild/not relevant': '3 (42.9%)'}"
"blocking, northerly",Unknown,7,5,"{'cold': 5, 'mild/not relevant': 2}","{'cold': '5 (71.4%)', 'mild/not relevant': '2 (28.6%)'}"
ssw,france,7,4,"{'mild/not relevant': 4, 'cold': 3}","{'mild/not relevant': '4 (57.1%)', 'cold': '3 (42.9%)'}"
nao,united kingdom,7,5,"{'mild/not relevant': 6, 'cold': 1}","{'mild/not relevant': '6 (85.7%)', 'cold': '1 (14.3%)'}"
ssts,united states,7,4,"{'mild/not relevant': 3, 'hot': 2, 'cold': 2}","{'mild/not relevant': '3 (42.9%)', 'hot': '2 (28.6%)', 'cold': '2 (28.6%)'}"
"cold, snow, air",anomaly,7,4,"{'mild/not relevant': 5, 'cold': 2}","{'mild/not relevant': '5 (71.4%)', 'cold': '2 (28.6%)'}"
"pv, ssw",united states,7,5,"{'cold': 4, 'mild/not relevant': 3}","{'cold': '4 (57.1%)', 'mild/not relevant': '3 (42.9%)'}"
"cold, snow, z",ireland,7,3,"{'cold': 4, 'mild/not relevant': 3}","{'cold': '4 (57.1%)', 'mild/not relevant': '3 (42.9%)'}"
storm,stormciara,6,3,{'cold': 6},{'cold': '6 (100.0%)'}
"pv, ssw",norway,6,4,"{'mild/not relevant': 4, 'cold': 1, 'very cold': 1}","{'mild/not relevant': '4 (66.7%)', 'cold': '1 (16.7%)', 'very cold': '1 (16.7%)'}"
"pv, polarvortex",norway,6,2,"{'mild/not relevant': 5, 'cold': 1}","{'mild/not relevant': '5 (83.3%)', 'cold': '1 (16.7%)'}"
"cold, snow, z",iceland,6,5,"{'cold': 4, 'mild/not relevant': 2}","{'cold': '4 (66.7%)', 'mild/not relevant': '2 (33.3%)'}"
storm,spain,6,4,"{'cold': 4, 'mild/not relevant': 1, 'hot': 1}","{'cold': '4 (66.7%)', 'mild/not relevant': '1 (16.7%)', 'hot': '1 (16.7%)'}"
"cold, snow, z",scotland,6,3,"{'cold': 4, 'mild/not relevant': 2}","{'cold': '4 (66.7%)', 'mild/not relevant': '2 (33.3%)'}"
"snow, cold, uksnow",britain,6,1,"{'cold': 3, 'mild/not relevant': 3}","{'cold': '3 (50.0%)', 'mild/not relevant': '3 (50.0%)'}"
storm,palm beach,6,1,"{'cold': 5, 'mild/not relevant': 1}","{'cold': '5 (83.3%)', 'mild/not relevant': '1 (16.7%)'}"
"cold, snow, air",austria,6,5,"{'cold': 4, 'mild/not relevant': 2}","{'cold': '4 (66.7%)', 'mild/not relevant': '2 (33.3%)'}"
"winter, cold, weather",canada,6,2,"{'cold': 4, 'mild/not relevant': 2}","{'cold': '4 (66.7%)', 'mild/not relevant': '2 (33.3%)'}"
"cold, snow, air",albania,6,3,"{'mild/not relevant': 5, 'very cold': 1}","{'mild/not relevant': '5 (83.3%)', 'very cold': '1 (16.7%)'}"
"winter, cold, weather",anomaly,6,5,"{'cold': 3, 'mild/not relevant': 2, 'hot': 1}","{'cold': '3 (50.0%)', 'mild/not relevant': '2 (33.3%)', 'hot': '1 (16.7%)'}"
blocking,uk,6,6,"{'cold': 5, 'very cold': 1}","{'cold': '5 (83.3%)', 'very cold': '1 (16.7%)'}"
beastfromtheeast,united kingdom,6,4,"{'cold': 5, 'very cold': 1}","{'cold': '5 (83.3%)', 'very cold': '1 (16.7%)'}"
"pv, nao",Unknown,5,1,{'mild/not relevant': 5},{'mild/not relevant': '5 (100.0%)'}
"storm, ssts",united states,5,3,"{'mild/not relevant': 3, 'cold': 2}","{'mild/not relevant': '3 (60.0%)', 'cold': '2 (40.0%)'}"
"winter, cold, weather",switzerland,5,5,"{'cold': 3, 'mild/not relevant': 2}","{'cold': '3 (60.0%)', 'mild/not relevant': '2 (40.0%)'}"
nao,iceland,5,2,{'mild/not relevant': 5},{'mild/not relevant': '5 (100.0%)'}
"nao, storm",Unknown,5,3,{'mild/not relevant': 5},{'mild/not relevant': '5 (100.0%)'}
"cold, snow, air",belgium,5,2,"{'mild/not relevant': 4, 'cold': 1}","{'mild/not relevant': '4 (80.0%)', 'cold': '1 (20.0%)'}"
ssts,germany,5,2,"{'hot': 3, 'mild/not relevant': 1, 'cold': 1}","{'hot': '3 (60.0%)', 'mild/not relevant': '1 (20.0%)', 'cold': '1 (20.0%)'}"
blocking,russia,5,3,"{'mild/not relevant': 3, 'cold': 2}","{'mild/not relevant': '3 (60.0%)', 'cold': '2 (40.0%)'}"
blocking,ireland,5,2,"{'cold': 3, 'mild/not relevant': 2}","{'cold': '3 (60.0%)', 'mild/not relevant': '2 (40.0%)'}"
"pv, ssw",united kingdom,5,2,"{'mild/not relevant': 4, 'cold': 1}","{'mild/not relevant': '4 (80.0%)', 'cold': '1 (20.0%)'}"
"winter, cold, weather",america,5,5,"{'cold': 3, 'mild/not relevant': 2}","{'cold': '3 (60.0%)', 'mild/not relevant': '2 (40.0%)'}"
blocking,anomaly,5,3,"{'mild/not relevant': 3, 'cold': 2}","{'mild/not relevant': '3 (60.0%)', 'cold': '2 (40.0%)'}"
"winter, cold, weather",alaska,5,3,{'cold': 5},{'cold': '5 (100.0%)'}
"snow, cold, uksnow",switzerland,5,4,"{'cold': 2, 'very cold': 2, 'mild/not relevant': 1}","{'cold': '2 (40.0%)', 'very cold': '2 (40.0%)', 'mild/not relevant': '1 (20.0%)'}"
"winter, cold, weather",iceland,5,2,"{'cold': 4, 'mild/not relevant': 1}","{'cold': '4 (80.0%)', 'mild/not relevant': '1 (20.0%)'}"
pv,russia,5,3,"{'mild/not relevant': 4, 'very cold': 1}","{'mild/not relevant': '4 (80.0%)', 'very cold': '1 (20.0%)'}"
polarvortex,france,5,2,"{'mild/not relevant': 3, 'very cold': 1, 'cold': 1}","{'mild/not relevant': '3 (60.0%)', 'very cold': '1 (20.0%)', 'cold': '1 (20.0%)'}"
storm,greece,5,4,"{'cold': 4, 'mild/not relevant': 1}","{'cold': '4 (80.0%)', 'mild/not relevant': '1 (20.0%)'}"
storm,canada,5,5,{'cold': 5},{'cold': '5 (100.0%)'}
"polarvortex, ssw",norway,5,2,"{'mild/not relevant': 4, 'cold': 1}","{'mild/not relevant': '4 (80.0%)', 'cold': '1 (20.0%)'}"
"cold, snow, z",austria,5,3,"{'cold': 3, 'mild/not relevant': 2}","{'cold': '3 (60.0%)', 'mild/not relevant': '2 (40.0%)'}"
"northerly, storm",Unknown,5,3,"{'cold': 4, 'mild/not relevant': 1}","{'cold': '4 (80.0%)', 'mild/not relevant': '1 (20.0%)'}"
"northerly, storm",united states,5,4,{'cold': 5},{'cold': '5 (100.0%)'}
storm,portugal,4,4,"{'cold': 2, 'mild/not relevant': 2}","{'cold': '2 (50.0%)', 'mild/not relevant': '2 (50.0%)'}"
"polarvortex, nao",Unknown,4,3,"{'mild/not relevant': 3, 'cold': 1}","{'mild/not relevant': '3 (75.0%)', 'cold': '1 (25.0%)'}"
storm,belgium,4,4,"{'cold': 3, 'very cold': 1}","{'cold': '3 (75.0%)', 'very cold': '1 (25.0%)'}"
"blocking, nao",united kingdom,4,3,{'mild/not relevant': 4},{'mild/not relevant': '4 (100.0%)'}
"pv, polarvortex, blocking",Unknown,4,1,"{'mild/not relevant': 2, 'cold': 2}","{'mild/not relevant': '2 (50.0%)', 'cold': '2 (50.0%)'}"
"cold, snow, z",switzerland,4,4,"{'cold': 2, 'mild/not relevant': 2}","{'cold': '2 (50.0%)', 'mild/not relevant': '2 (50.0%)'}"
polarvortex,united kingdom,4,1,"{'cold': 3, 'mild/not relevant': 1}","{'cold': '3 (75.0%)', 'mild/not relevant': '1 (25.0%)'}"
"nao, ssw",Unknown,4,2,{'mild/not relevant': 4},{'mild/not relevant': '4 (100.0%)'}
"winter, cold, weather",finland,4,3,"{'mild/not relevant': 3, 'cold': 1}","{'mild/not relevant': '3 (75.0%)', 'cold': '1 (25.0%)'}"
ssw,netherlands,4,3,"{'cold': 3, 'mild/not relevant': 1}","{'cold': '3 (75.0%)', 'mild/not relevant': '1 (25.0%)'}"
ssw,russia,4,3,"{'cold': 2, 'mild/not relevant': 2}","{'cold': '2 (50.0%)', 'mild/not relevant': '2 (50.0%)'}"
"blocking, polarvortex",united states,4,1,"{'cold': 3, 'mild/not relevant': 1}","{'cold': '3 (75.0%)', 'mild/not relevant': '1 (25.0%)'}"
"storm, beastfromtheeast",Unknown,4,2,"{'cold': 3, 'mild/not relevant': 1}","{'cold': '3 (75.0%)', 'mild/not relevant': '1 (25.0%)'}"
"snow, cold, uksnow",finland,4,3,{'mild/not relevant': 4},{'mild/not relevant': '4 (100.0%)'}
"cold, snow, z",finland,4,2,"{'cold': 2, 'mild/not relevant': 1, 'very cold': 1}","{'cold': '2 (50.0%)', 'mild/not relevant': '1 (25.0%)', 'very cold': '1 (25.0%)'}"
"snow, cold, uksnow",iceland,4,2,"{'cold': 3, 'very cold': 1}","{'cold': '3 (75.0%)', 'very cold': '1 (25.0%)'}"
blocking,france,4,2,{'cold': 4},{'cold': '4 (100.0%)'}
pv,eurasia,3,3,"{'cold': 1, 'hot': 1, 'mild/not relevant': 1}","{'cold': '1 (33.3%)', 'hot': '1 (33.3%)', 'mild/not relevant': '1 (33.3%)'}"
"winter, cold, weather",spain,3,3,"{'cold': 2, 'mild/not relevant': 1}","{'cold': '2 (66.7%)', 'mild/not relevant': '1 (33.3%)'}"
"winter, cold, weather",ireland,3,3,"{'cold': 2, 'mild/not relevant': 1}","{'cold': '2 (66.7%)', 'mild/not relevant': '1 (33.3%)'}"
northerly,ireland,3,2,"{'cold': 2, 'mild/not relevant': 1}","{'cold': '2 (66.7%)', 'mild/not relevant': '1 (33.3%)'}"
"blocking, storm",Unknown,3,3,"{'cold': 2, 'mild/not relevant': 1}","{'cold': '2 (66.7%)', 'mild/not relevant': '1 (33.3%)'}"
northerly,netherlands,3,1,"{'mild/not relevant': 2, 'cold': 1}","{'mild/not relevant': '2 (66.7%)', 'cold': '1 (33.3%)'}"
northerly,turkey,3,3,"{'mild/not relevant': 1, 'very cold': 1, 'cold': 1}","{'mild/not relevant': '1 (33.3%)', 'very cold': '1 (33.3%)', 'cold': '1 (33.3%)'}"
"snow, cold, uksnow",italy,3,2,"{'very cold': 1, 'very hot': 1, 'cold': 1}","{'very cold': '1 (33.3%)', 'very hot': '1 (33.3%)', 'cold': '1 (33.3%)'}"
"pv, ssw",russia,3,1,{'mild/not relevant': 3},{'mild/not relevant': '3 (100.0%)'}
"winter, cold, weather",la,3,2,"{'mild/not relevant': 2, 'cold': 1}","{'mild/not relevant': '2 (66.7%)', 'cold': '1 (33.3%)'}"
"snow, cold, uksnow",liechtenstein,3,3,"{'cold': 2, 'mild/not relevant': 1}","{'cold': '2 (66.7%)', 'mild/not relevant': '1 (33.3%)'}"
storm,west palm beach,3,1,{'cold': 3},{'cold': '3 (100.0%)'}
"blocking, ssw",germany,3,3,"{'cold': 2, 'mild/not relevant': 1}","{'cold': '2 (66.7%)', 'mild/not relevant': '1 (33.3%)'}"
"polarvortex, ssw",united kingdom,3,1,{'cold': 3},{'cold': '3 (100.0%)'}
