group_topic,final_location,tweet_count,account_count,temp_counts,temp_percentages
"blocking, polarvortex",canada,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
"blocking, polarvortex",alaska,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
"blocking, northerly",turkey,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
"blocking, northerly",iceland,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
"blocking, beastfromtheeast, ssw",united kingdom,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
"blocking, nao, ssw",anomaly,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
"blocking, nao, ssw",Unknown,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
"blocking, nao, northerly",united states,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
"blocking, nao",uk,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
"blocking, nao",turkey,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
"blocking, nao",spain,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
"blocking, nao",netherlands,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
"blocking, nao",germany,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
"blocking, nao",britain,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
"blocking, nao",america,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
nao,defcon,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
nao,france,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
nao,japan,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
"pv, polarvortex",austria,1,1,{'very cold': 1},{'very cold': '1 (100.0%)'}
"pv, ssts",la nina,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
"pv, polarvortex, storm, northerly",Unknown,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
"pv, polarvortex, northerly",Unknown,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
"pv, polarvortex, blocking",serbia,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
"pv, polarvortex, blocking",norway,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
"pv, polarvortex",slovenia,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
"pv, polarvortex",morocco,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
"pv, polarvortex",ireland,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
"pv, polarvortex",france,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
"pv, polarvortex",belgium,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
"pv, polarvortex",america,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
"pv, ssw",germany,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
"pv, polarvortex",albania,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
"pv, northerly",Unknown,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
"pv, nao, ssw",croatia,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
"pv, nao, ssw",Unknown,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
"pv, nao, blocking",united states,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
"pv, nao, blocking",united kingdom,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
"pv, nao",norway,1,1,{'hot': 1},{'hot': '1 (100.0%)'}
"pv, blocking, ssw",united kingdom,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
"pv, blocking",united kingdom,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
"pv, blocking",turkey,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
"pv, ssts",uk,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
"pv, ssw",ireland,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
"pv, beastfromtheeast",Unknown,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
"snow, cold, uksnow",jerusalem,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
